osmid,latitude,longitude
42428374,40.7087855,-74.0108222
42428376,40.709798,-74.0099714
42428377,40.7103215,-74.0095316
42428379,40.7104064,-74.0094602
42428385,40.7108847,-74.0090583
42428391,40.7113846,-74.0086478
42428402,40.7146812,-74.0058865
42428405,40.715236,-74.00542
42428408,40.71576,-74.004976
42428411,40.7162869,-74.0045303
42428420,40.717449,-74.003533
42428425,40.7180338,-74.003043
42428428,40.7186389,-74.0025285
42428431,40.719153,-74.002091
42428433,40.7194058,-74.0018769
42428434,40.719938,-74.001425
42428436,40.7208634,-74.0006449
42428438,40.7217891,-73.9998554
42428441,40.723021,-73.998812
42428444,40.724235,-73.997785
42428447,40.7255012,-73.9967146
42428454,40.727211,-73.99527
42428458,40.7278266,-73.9947496
42428460,40.728412,-73.994252
42428464,40.729008,-73.993747
42428468,40.72958,-73.993262
42428471,40.730079,-73.992841
42428473,40.7306011,-73.9923997
42428476,40.731166,-73.991921
42428480,40.7317445,-73.9914619
42428483,40.732449,-73.991289
42428489,40.733214,-73.991114
42428491,40.7339814,-73.990953
42428493,40.7347874,-73.9907352
42428524,40.7040559,-74.0132
42428529,40.705045,-74.0133173
42428570,40.7689456,-73.9822067
42428575,40.7706087,-73.9822655
42428579,40.7714459,-73.9822732
42428588,40.7726643,-73.9822975
42428590,40.7730913,-73.982316
42428595,40.7739304,-73.9823484
42428598,40.7747353,-73.9823166
42428601,40.7755452,-73.9822846
42428604,40.7763504,-73.9822527
42428610,40.7771394,-73.9822224
42428634,40.7787921,-73.9820581
42428637,40.7795997,-73.9818489
42428640,40.7803332,-73.9816348
42428643,40.7810582,-73.9814257
42428645,40.7818019,-73.9811764
42428648,40.7825164,-73.9809212
42428653,40.783893,-73.9800838
42428657,40.7852008,-73.9791229
42428661,40.7858192,-73.9786487
42428663,40.7864652,-73.9781723
42428670,40.7877015,-73.9771707
42428674,40.7883609,-73.9766072
42428678,40.7890078,-73.976052
42428682,40.7896182,-73.9755987
42428689,40.7908742,-73.9746797
42428695,40.7915093,-73.974213
42428701,40.7921441,-73.9737551
42428705,40.792771,-73.9732956
42428709,40.7934001,-73.9728453
42428711,40.794038,-73.9724164
42428714,40.7947185,-73.9718978
42428716,40.7953835,-73.9714047
42428720,40.7960068,-73.9709401
42428723,40.796633,-73.9704821
42428725,40.7972661,-73.9700162
42428728,40.7978923,-73.9695597
42428737,40.7985191,-73.9691049
42428742,40.7991535,-73.9686574
42428746,40.7998293,-73.9683196
42428751,40.8005442,-73.9680997
42428760,40.8022513,-73.9679079
42428770,40.8036112,-73.9672429
42428782,40.8042102,-73.9667891
42428790,40.8048633,-73.9663136
42428799,40.8054904,-73.9658601
42428807,40.8061176,-73.9654027
42428814,40.8067507,-73.9649437
42428833,40.8073871,-73.9644889
42428844,40.8112589,-73.9616861
42428858,40.8151853,-73.9588359
42428863,40.8158098,-73.9583906
42428873,40.8176184,-73.9570603
42428876,40.8182375,-73.9566189
42428892,40.8201687,-73.9552062
42428912,40.8214465,-73.9542759
42428913,40.8220806,-73.9538135
42428914,40.822698,-73.9533594
42428917,40.823318,-73.9529044
42428919,40.8239402,-73.9524477
42428922,40.8245785,-73.9519855
42428926,40.8251983,-73.9515358
42428928,40.8258119,-73.9510825
42428931,40.8264958,-73.9505823
42428934,40.8271631,-73.9500994
42428936,40.8277858,-73.9496453
42428939,40.8284141,-73.949184
42428941,40.8290398,-73.948729
42428944,40.8296535,-73.9482817
42428947,40.8302751,-73.9478285
42428951,40.8309006,-73.9473687
42428953,40.8315246,-73.9469124
42428956,40.8328285,-73.9459609
42428958,40.8334857,-73.945481
42428961,40.8341411,-73.9450015
42428962,40.834739,-73.9445661
42428964,40.8359959,-73.9436514
42428965,40.8366143,-73.9431927
42428966,40.8372479,-73.9427349
42428967,40.8378398,-73.9422972
42428970,40.8384885,-73.9418259
42428973,40.8392425,-73.9412769
42428975,40.8399295,-73.9407749
42428978,40.8411266,-73.9398609
42428980,40.8416786,-73.9392999
42428984,40.842436,-73.939255
42428985,40.843223,-73.939177
42428989,40.843942,-73.939025
42428994,40.8446886,-73.9388653
42428998,40.8454318,-73.9386774
42429002,40.846193,-73.938451
42429006,40.8469437,-73.938228
42429011,40.847558,-73.938036
42429013,40.847711,-73.937975
42429017,40.8483904,-73.9376885
42429023,40.8489682,-73.9370276
42429029,40.8501764,-73.9357231
42429032,40.850774,-73.935426
42429035,40.851434,-73.935083
42429044,40.852058,-73.934776
42429058,40.852729,-73.93443
42429072,40.8532,-73.934193
42429083,40.8541572,-73.9337034
42429094,40.855335,-73.933312
42429100,40.856503,-73.932761
42429104,40.856716,-73.932631
42429109,40.858271,-73.931818
42429174,40.860641,-73.930771
42429184,40.8634187,-73.9300194
42429211,40.8646634,-73.9289023
42429212,40.8650857,-73.9281099
42429215,40.8655306,-73.9272714
42429216,40.866025,-73.925872
42429217,40.866336,-73.925005
42429220,40.867016,-73.92311
42429222,40.867707,-73.9212171
42429226,40.8681187,-73.9197555
42429228,40.868482,-73.918561
42429231,40.868885,-73.917594
42429236,40.8693238,-73.9167458
42429242,40.8698643,-73.9158491
42429244,40.8704145,-73.9151316
42429255,40.871714,-73.9132764
42429287,40.875638,-73.9082537
42429314,40.7815417,-73.9604156
42429324,40.7808601,-73.9588013
42429330,40.7801372,-73.9570904
42429334,40.7795072,-73.9555814
42429338,40.7788301,-73.9539755
42429340,40.777887,-73.9517388
42429342,40.776888,-73.9493698
42429346,40.775148,-73.945275
42429348,40.7749461,-73.9447748
42429353,40.707205,-74.005951
42429354,40.707855,-74.0068357
42429373,40.735313,-73.994118
42429374,40.736668,-73.997341
42429375,40.7378614,-74.0001742
42429378,40.7387436,-74.0024001
42429388,40.7390953,-74.0030301
42429390,40.739418,-74.003865
42429394,40.7400297,-74.0053043
42429412,40.7409399,-74.0074994
42429431,40.7414704,-74.00874
42429452,40.8429382,-73.9346816
42429457,40.84355,-73.936126
42429466,40.844137,-73.937518
42429474,40.8446487,-73.9387288
42429479,40.846231,-73.94261
42429504,40.705313,-74.009016
42429507,40.7055418,-74.0090528
42429521,40.7064989,-74.0167436
42429530,40.810856,-73.939018
42429532,40.8121691,-73.9421726
42429536,40.8134246,-73.9451819
42429538,40.81458,-73.947947
42429541,40.8193946,-73.9593697
42429552,40.803228,-73.944597
42429557,40.7985787,-73.9731567
42429562,40.7138056,-74.0088463
42429563,40.714383,-74.010128
42429565,40.714904,-74.0113427
42429570,40.7152226,-74.0132124
42429595,40.7155725,-74.0155746
42429630,40.7158285,-74.0153819
42429633,40.7163193,-74.0164429
42429636,40.7142872,-73.9939293
42429641,40.7164855,-73.9928237
42429643,40.717668,-73.9922172
42429644,40.7185836,-73.9917491
42429645,40.7195624,-73.9912489
42429646,40.7207678,-73.9906322
42429647,40.7219247,-73.9900405
42429657,40.7385117,-73.9918058
42429659,40.73986,-73.995018
42429661,40.741056,-73.997862
42429662,40.7422581,-74.0006951
42429663,40.7434761,-74.0035806
