,,osmid,name,highway,maxspeed,oneway,length,geometry,hour_of_day,speed_kph_mean,speed_kph_stddev,est_width
12614600,29784567,656241856,Danziger Straße,primary,50,True,167.85999999999999,"LINESTRING (13.4477657 52.5265215, 13.4476904 52.52659, 13.4476602 52.5266188, 13.4474889 52.5267777, 13.4471662 52.5270728, 13.4469744 52.5272482, 13.4466808 52.5275183, 13.4463961 52.5277803)",8,37.034,16.392,
29270276,29270294,29376344,,primary,50,True,21.602,"LINESTRING (13.4474442 52.5264109, 13.4474672 52.5263824, 13.4474956 52.5263474, 13.4475207 52.5263164, 13.4475445 52.5262833, 13.4475792 52.5262349)",8,40.549,9.6,
29784567,29784566,4782467,Danziger Straße,primary,50,True,117.40100000000001,"LINESTRING (13.4463961 52.5277803, 13.4463031 52.5278652, 13.4456302 52.5284804, 13.4454387 52.5286609)",7,43.65,12.104,
12614629,587656935,4689191,Rhinstraße,secondary,50,True,77.119,"LINESTRING (13.5187785 52.5104911, 13.5187639 52.5100408, 13.5187649 52.5099932, 13.5187728 52.5097977)",9,24.15,20.163,
587656935,516394458,137866497,Am Tierpark,secondary,50,True,29.654,"LINESTRING (13.5187728 52.5097977, 13.5187836 52.5095311)",8,49.533,9.892,
587656935,12614675,192487125,Alt-Friedrichsfelde,secondary,50,True,71.247,"LINESTRING (13.5187728 52.5097977, 13.5185075 52.5098183, 13.5177311 52.5098901)",8,45.361,7.771,
12614644,29266235,4615004,Winsstraße,residential,30,False,76.087,"LINESTRING (13.4287152 52.5375413, 13.4286315 52.5374509, 13.4286022 52.5374188, 13.4281696 52.5369429)",9,27.916,4.121,
29266235,29266234,4615004,Winsstraße,residential,30,False,69.206,"LINESTRING (13.4281696 52.5369429, 13.4276675 52.5364006)",7,28.236,8.04,
29266235,12614644,4615004,Winsstraße,residential,30,False,76.087,"LINESTRING (13.4281696 52.5369429, 13.4286022 52.5374188, 13.4286315 52.5374509, 13.4287152 52.5375413)",9,9.498,7.372,
12614650,27195457,8084125,Paul-Heyse-Straße,residential,30,False,130.348,"LINESTRING (13.4444738 52.5295625, 13.4446314 52.5296218, 13.4446846 52.5296415, 13.4452506 52.5298501, 13.4461205 52.5301713)",8,31.651,5.486,
27195457,27195460,8084125,Paul-Heyse-Straße,residential,30,False,87.61999999999999,"LINESTRING (13.4461205 52.5301713, 13.4470497 52.5304967, 13.4471075 52.5305163, 13.4472429 52.5305646)",8,21.5,11.016,
12614651,29785844,310172809,Frankfurter Allee,primary,50,True,75.143,"LINESTRING (13.4696325 52.5141418, 13.4706137 52.5140432, 13.4707281 52.5140317)",8,46.97,10.186,
12614653,29784655,4789051,Straßmannstraße,residential,30,False,216.775,"LINESTRING (13.4506169 52.5223756, 13.4507777 52.5224177, 13.4508623 52.522439, 13.4533994 52.5230804, 13.453444 52.5230917, 13.4535749 52.5231248)",9,20.035,8.238,
12614653,29271706,182614432,Straßmannstraße,residential,50,False,27.528,"LINESTRING (13.4506169 52.5223756, 13.4504476 52.5223324, 13.4504015 52.5223205, 13.450242 52.5222794)",8,25.193,9.876,
12614653,29784666,440078643,Petersburger Straße,primary,50,True,122.45400000000001,"LINESTRING (13.4506169 52.5223756, 13.4505625 52.5224594, 13.449927 52.5233937)",9,44.07,7.41,
