,y,x,street_count,ref,highway
29207837,52.5143491,13.3969553,4,,
29207418,52.5151553,13.3955002,3,,
25664099,52.5095995,13.37679,4,,
26869274,52.5095951,13.3765714,4,,
26822716,52.5101007,13.376705,3,,
25664256,52.5070418,13.379159,4,,
25664274,52.5080033,13.3779533,3,,
1918903125,52.5083555,13.3775085,3,,
25664680,52.5187163,13.3885439,5,,
25664657,52.5181506,13.390521,3,,
25664841,52.5172694,13.3906741,4,,
25664673,52.518908,13.3904163,4,,traffic_signals
25664699,52.5184085,13.3836662,3,,
26700887,52.5183144,13.382258,3,,
25664779,52.5169832,13.3907076,4,,
29207420,52.5171923,13.3931717,3,,
25665646,52.517548,13.3962691,4,,
3378459431,52.5174686,13.3951066,3,,
25665679,52.519122,13.3922306,4,,traffic_signals
29192960,52.5200595,13.3919971,4,,traffic_signals
25665883,52.5169757,13.4089319,4,,
262469634,52.516766,13.4092012,4,,
25954546,52.5268182,13.4034382,3,,
25954547,52.5260495,13.4036804,4,,traffic_signals
266592581,52.5274239,13.4031428,3,,
27411228,52.524937,13.4063344,4,,
3837028179,52.524978,13.4033083,3,,
25954548,52.5256916,13.3899952,3,,
612438356,52.5259332,13.3889866,3,,
25954549,52.5264009,13.3935408,4,,
26871578,52.5270688,13.3970179,3,,
1769645437,52.5259924,13.3934073,2,,
1448679340,52.5274816,13.3928956,4,,
25954550,52.5272562,13.3980815,4,,
29192133,52.5276921,13.397851,3,,
25954551,52.5274255,13.3990211,3,,
25954552,52.5274636,13.3992475,3,,
25954543,52.5266986,13.4013722,3,,
25954553,52.5277248,13.4006675,4,,
25954554,52.5280763,13.4026244,4,,
25954556,52.5281206,13.4032572,3,,
1668033985,52.5289578,13.4018841,4,,
29221617,52.5277987,13.403323,3,,
25954557,52.5289939,13.4031072,3,,
26162583,52.4350539,13.2507439,4,,
30408767,52.4343561,13.2460769,4,,
26162585,52.4355292,13.2582995,4,,
26162584,52.435823,13.2560139,4,,
26162586,52.4351448,13.2603946,4,,
26905939,52.4350177,13.2603306,4,,
26162587,52.4355797,13.264948,4,,
26906127,52.4352185,13.2634718,3,,
26162593,52.4420173,13.2829331,4,,
26906162,52.4419575,13.2827112,4,,
26162594,52.4439564,13.2887599,4,,
31271829,52.443354,13.2871471,3,,
26162601,52.4500882,13.2510942,4,,
88359640,52.4461066,13.2438646,4,,
26190958,52.4580733,13.2890877,3,,
316253565,52.4580949,13.2887011,3,,
26190965,52.4534003,13.2858721,4,,
27253800,52.4532809,13.2857591,4,,
26190968,52.451561,13.2825608,3,,
30349144,52.4508644,13.2809242,3,,
26190998,52.4338117,13.1932529,4,,
274115813,52.4389271,13.1984916,3,,
26191015,52.439225,13.2628119,4,,
150895819,52.4382088,13.2621787,3,,
26906132,52.4391851,13.2630027,4,,
26517409,52.5039767,13.4095683,3,,
287447548,52.5037485,13.4103809,3,,
26554128,52.4793772,13.3613112,3,,
26554142,52.4789849,13.3624185,3,,
26554139,52.4785882,13.3633726,3,,
567574430,52.4783926,13.3637721,3,,
26554152,52.47608,13.3631188,3,,
274107528,52.4767092,13.3634527,3,,
26554161,52.4732916,13.36554,3,,
26554172,52.4709811,13.3696072,3,,
27538873,52.470834,13.3697043,3,,
26554177,52.4663918,13.378015,4,,
235637267,52.4663101,13.3781408,4,,
27212290,52.4659282,13.3777291,4,,
26554190,52.4698066,13.37227,4,,
26554191,52.4699105,13.3720851,4,,
27538881,52.4698061,13.3719301,4,,
26554200,52.4660908,13.3854935,4,,
29653735,52.465723,13.3854917,4,,
26554202,52.4659531,13.3826662,4,,
26554203,52.4657345,13.3812102,3,,
26554204,52.4657346,13.3811753,3,,
29653740,52.4656457,13.3826788,3,,
26554207,52.4657943,13.3797704,3,,
1011216291,52.4658063,13.3796505,3,,
26554209,52.4658383,13.3792398,3,,
26554211,52.464201,13.3999606,3,,
1688279816,52.4636882,13.4008549,4,,
26554227,52.4656398,13.3927173,3,,
26554224,52.4654787,13.3945948,4,,
26565046,52.4275301,13.2146634,4,,
26565047,52.4262827,13.2097314,4,,
26601846,52.4244555,13.2051563,4,,
26568703,52.4201112,13.3590474,4,,traffic_signals
270539525,52.4200814,13.3589038,3,,traffic_signals
26569509,52.4124697,13.3613071,4,,
270537507,52.4124227,13.3614729,4,,
301675179,52.4111771,13.3606879,3,,
26569510,52.4122246,13.3621944,3,,
769813014,52.4118595,13.363283,3,,
26570022,52.4291545,13.3547409,4,,
